ПРАКРИТИ,11
ЦЕРЕБРОЗИД,0
РАСПУЩЕНИЕ,0
АМИНОАЗИРИДИН,0
ИЗОАМИЛАНИЛИН,0
БЛОШНИЦА,12
НАКОЖНИК,17
БЕЗБОЖНИК,8
ВЕДАНТИСТКА,12
АМБУЛИЯ,11
ТОКИН,36
ЭКЗОГЕНИЯ,0
НЕХАРИДЖАН,0
ОБРЫВНОСТЬ,0
ВОЛОГЖАНИН,0
ЧИФТЛИК,10
ПРИДУМКА,18
НАНОЛИТР,17
ХИНОЛОН,17
АССИГНОВКА,0
НИРЕМБЕРГИЯ,0
ФИКСАТОРЩИК,11
КЛЕЙКОВАТОСТЬ,0
ЭФФЕКТ,18
ВЫТРАВКА,10
ПОДГОНЯЛА,0
ФИЛЬТРОЦИКЛ,0
ПЕННИВЕЙТ,0
МУСКУЛИСТОСТЬ,0
БОРВОЛОКНО,0
ГРИЗЕОФЕНОН,0
ЭРИТРОСПЕРМУМ,0
МЕТИЛТАРТРАТ,0
ПОЛКА,43
ТОРУС,26
МИКРОКАХРИС,0
ПРЕЛЕСТНИЦА,12
ТЕРФЕНИЛ,14
САРДОБИНЕЦ,0
МОНОТРОПИЯ,0
ДВУХГОЛОСИЕ,0
МОСТИК,40
РАЗОРЕНИЕ,13
ДИСТРОФИЧНОСТЬ,0
РОСТОК,40
ОТШЕСТВИЕ,14
ПРАВДИНКА,10
ТРИСТЕЦА,10
МЕТРОТРАССА,0
КЕГЛЬ,34
ОДНОРЯДКА,8
СПЕЦМОНТАЖ,0
КОНСОРЦИУМ,0
КАЗА,30
АУТОАНАФИЛАКСИЯ,0
МАКРОСПОРОФИЛЛ,0
ПЛАНАРИЯ,13
ЧУТЬЕ,34
АЭРОГЕНЕРАТОР,0
НЕФТЕСТОЙКОСТЬ,0
ГИТОВ,29
ПОЛИАНИТ,11
МЕДЯК,43
МЯСНИКОВЕЦ,8
СЕСКВИАРСЕНИД,0
ВИНИЛФОСФАТ,0
ПИЩАЛЬНИК,25
ПЬЕЗОРЕЦЕПТОР,0
ФИЗИОНОМИСТ,0
АЭРОГЕОРАЗВЕДКА,0
КЕННЕЛЬ,12
СКРЫТНОГЛАВ,0
БРИДЖИ,23
ИММОБИЛЬНОСТЬ,0
РУХЛЯДЬ,12
КОРАЛЛИН,12
ПЕРХЛОРИРОВАНИЕ,0
СКРИЖАПЕЛЬ,0
ФЛЮКИТ,17
КАКОФОНИЯ,0
АДОНИС,34
ДИОКСОАНТРАЦЕН,0
ИЗБАСКАНЕЦ,0
РИШЕТИТ,0
БИОМИКРОСКОП,0
ПЕРЕВОДНОСТЬ,0
ГРОУЛ,19
ОБЫСК,31
ПИЛЮЛЯРИЯ,9
ПРОРИСОВКА,11
ДВУХКОЛЕСНИК,0
ШАУРМА,19
КЕГЛЯ,42
ТЕЛЕИСКУССТВО,0
ГОРЖА,21
ГИДРОКОРАЛЛ,0
ГЕКТОФАРАД,0
УЗУРА,15
ТЕЛЕФОН,22
ЦИТРОНЕЛЛА,12
ХЫРОВЧАНИН,0
ДЕПРАВАЦИЯ,0
МИКРОЛИФТ,8
СПАСТИКА,11
БЕНЗИЛМАЛЬТОЗИД,0
ФЕНИЛОРТОЭФИР,0
АДОНИТ,25
ТРАНСПОРТЕРЩИЦА,0
ДЕРЖАВЕЦ,8
КАЗИ,33
ДИССОМНИЯ,0
ПСИХРОФОБ,0
ВЗЯТКОЕМКОСТЬ,0
АМАДИНА,10
СКЕПТРОН,19
СЕЙСМОДАТЧИК,0
ВИРОПЛАСТ,12
ИМПЕРАТИВНОСТЬ,0
КИСЕЛЬНИК,18
ДИФЕНИЛГУАНИДИН,0
КРАСИЛЬНЯ,8
МИКРОКОМПОНЕНТ,0
КАРДИОТОКОГРАФ,0
АЙХМОФОБ,11
ПРОТОФУНДАМЕНТ,0
НОВОУКРАИНЕЦ,8
ФЛОРТИМБЕРС,0
ФАРМАКОХИМИЯ,0
АЦИДОФИЛ,11
ФИБРОНЕВРОМА,0
РАБОТОМЕР,0
АРТИЛУК,15
ПОХОЖЕСТЬ,11
ВНЕВОЙСКОВИК,8
БЕЙФУТ,21
ЖИЗНЕПОДОБНОСТЬ,0
АКТИВНОСТЬ,15
УНИВЕРСАЛЬНОСТЬ,0
КАРИКАТУРЩИК,0
ПАЛЬСТАБ,8
ГИДРОФУГА,8
ГАЛОГЕНИТ,11
НИТРОБЕНЗИЛТИОЛ,0
ДИБЕНЗИЛФОСФИТ,0
ГАЛОХРОМИН,0
ВОЗРАСТ,20
МИНЕРАГЕНИЯ,0
ХАВКОРТ,15
БЕНЗОПИРИДИН,0
ПОСТРИЖЕНИЕ,0
ЗНАТЬ,36
СРУБКА,30
ТИТОВКА,14
СТУКАЧЕСТВО,8
ДОВГА,32
ЛАПОТНИК,24
ФЛАВАН,15
ОСТРЯК,29
КЕРСУТИТ,12
ЦЕЛКОВЫЙ,8
КСЕНОЗАВР,8
ДИАЗАФЛУОРЕН,0
ОПЕРАТИВНОСТЬ,0
ГАЛЕРИСТ,15
ХЕДЛАЙНЕР,11
ДИМЕТИЛКАДМИЙ,0
КАРДИОПАМП,0
ДИМЕТИЛРТУТЬ,0
АВТОМАГИСТРАЛЬ,8
НЬЯНДЖА,11
ПОЛИФАРМАЦИЯ,0
ФЕНОКСАТЕЛЛУРИН,0
БЕТОНОВОЗ,10
КАНЦИОНАЛ,0
КОНОСИР,17
ТЕНЬКИНЕЦ,11
ПСЕВДОМЕНИНГИТ,0
ТЕПЛОРОД,14
ТЫСЯЧЕЛЕТИЕ,0
ДИКУМАРИН,11
ПОЧИНЩИК,19
СОДЕЙСТВОВАТЕЛЬ,0
ГРОУТ,17
БУФЕТЧИК,21
ОЛОВЯНИРОВАНИЕ,0
КАЗУ,33
ГРУБА,21
КНИГОМАН,14
ЛАРЕЧНИК,19
ДИФЕНИЛВИСМУТ,8
АНТИСЛЕЖИВАТЕЛЬ,0
ПЕРИТОМИЯ,10
БЕСЛАНЕЦ,16
ХЕНТАЙ,22
ПОЛИРОЛЬ,16
ТРИПЕЛЬФОСФАТ,0
РАДИОВЫСОТОМЕР,0
СПЕЦСТОК,11
НЕЛЕПОСТЬ,9
ПРИБИВАНИЕ,0
АВТОКОЛЛИМАЦИЯ,0
ФОТОМИКРОГРАФ,0
ВИБРАНТ,19
ЖАДНИЧАНЬЕ,0
НИТРОЗОФЕНОЛ,0
ЛЬНОТРЕПАЛЬЩИЦА,0
НЕСТРОЕВИК,14
МИНОРИТАРИЙ,8
ТИРАМИСУ,16
АВТОПРОБЕГ,15
ТОРФОМАССИВ,0
ДИЭЛЬКОМЕТРИЯ,0
ГОЛУБИКА,13
ПОТАТЧИЦА,0
ДЕНДРИТ,15
ИРИДОКОЛОБОМА,0
ОКСИМЕТАЗОЛИН,0
ВЫТРЕЗВИТЕЛЬ,0
МУЛЬТИСАЙТИНГ,0
ПСЕВДОРОКОКО,0
ОКТАПЕПТИД,0
СМЕХОТВОР,10
ДУРРА,17
КАЧУГЕЦ,14
ЭЛЛИСИТ,8
ГЕНОТЕРАПИЯ,0
МЕЛОВИДНОСТЬ,0
ХЕЙДОРНИТ,0
КОЛЧАКОВЕЦ,0
ИРАНИЗМ,14
ПОСЛЕФРАНКИЗМ,0
КВИНТДЕЦИМА,0
ИНТЕРПУНКЦИЯ,0
АДУСАЦИЯ,9
ПИРАЗОЛАНТРОН,0
СВАТОВСТВО,0
ВЕГЕТОМИОФАСЦИТ,0
ОРА,54
ОБЪЕКТИВ,43
ГУЛЕНИЕ,16
ЗЕМЛЕМЕРИЕ,0
ГЮВЕЧ,34
СКЛОНЯЕМОСТЬ,8
КАЗЫ,34
СОПРОМАТ,12
ИЖМОРЕЦ,14
ЦНОРЕЦ,10
ПРИМАТОЛОГ,8
АЛЛОБИОЗ,8
ДЕВЯТИЛЕТИЕ,0
КОРИОЛУС,11
ИЗОНЕФА,22
